source,C:\TEMP\20260505\..\Crusher_IsaacSim_description\Crushing.usd

[LINKS],total=42
#,link_name,world_pos_x [m],world_pos_y [m],world_pos_z [m]
35,L6_DcutShaft_1_L7_Holder_Bearing1_1,Revolute,L6_DcutShaft_1,L7_Holder_Bearing1_1
36,L6_DcutShaft_1_L7_Holder_Bearing2_1,Revolute,L6_DcutShaft_1,L7_Holder_Bearing2_1
37,L6_DcutShaft_1_L7_SpurGear_1,Fixed,L6_DcutShaft_1,L7_SpurGear_1
38,base_link_L1_Wall2_1,Fixed,base_link,L1_Wall2_1
39,L1_Wall2_1_L2_GearCase2_1,Fixed,L1_Wall2_1,L2_GearCase2_1
40,L2_GearCase2_1_L3_GearCase1_1,Fixed,L2_GearCase2_1,L3_GearCase1_1
41,L1_Wall2_1_L2_Wall3_1,Fixed,L1_Wall2_1,L2_Wall3_1
42,root_joint,Fixed,—,fixed_base

[JOINT_POSITIONS]
#,joint_name,type,localPos0_x [m],localPos0_y [m],localPos0_z [m],localPos1_x [m],localPos1_y [m],localPos1_z [m],rot0_roll [deg],rot0_pitch [deg],rot0_yaw [deg],rot1_roll [deg],rot1_pitch [deg],rot1_yaw [deg]
1,fixed_base_base_link,Fixed,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.0000,0.0000,90.0000,0.0000,0.0000,0.0000
2,base_link_L1_Braket1_1,Fixed,0.060278,0.009431,-0.109802,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,L1_Braket1_1_L2_Braket2_1,Fixed,0.000000,0.010000,0.050000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,L2_Braket2_1_L3_Bevel_GearBox_1,Fixed,0.012625,0.042375,-0.005000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,L3_Bevel_GearBox_1_L4_Bevel_GearBox2_1,Fixed,-0.006225,-0.012375,-0.029000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,L3_Bevel_GearBox_1_L4_Motor1_FrontBearing_1,Fixed,0.012375,-0.012375,0.002000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,L4_Motor1_FrontBearing_1_L5_Motor1_FrontSnapring_1,Fixed,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,L3_Bevel_GearBox_1_L4_Motor1_RearBearing_1,Fixed,0.012375,-0.012375,-0.058000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,L4_Motor1_RearBearing_1_L5_Motor1_RearSnapring_1,Fixed,0.000000,-0.000400,-0.000500,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,L3_Bevel_GearBox_1_L4_Reducer1_1,Fixed,0.035875,-0.011806,-0.029198,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,L4_Reducer1_1_L5_Reducer2_1,Fixed,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,L5_Reducer2_1_L6_Motor1_Bolt_1,Fixed,0.003000,0.020819,-0.002750,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,L5_Reducer2_1_L6_Motor1_Braket_1,Fixed,0.042600,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,L6_Motor1_Braket_1_L7_Motor1_Body_1,Fixed,0.011500,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,L3_Bevel_GearBox_1_L4_Shaft_1,Revolute,0.012375,-0.012375,0.002800,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,L4_Shaft_1_L5_Key_1,Fixed,0.002500,0.000000,0.006700,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,L4_Shaft_1_L5_Link1_1,Fixed,0.000000,0.000000,0.018700,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,L5_Link1_1_L6_Link2_1,Revolute,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,180.0000,0.0000,180.0000,180.0000,0.0000,180.0000
19,L6_Link2_1_L7_Link3_1,Revolute,0.094000,0.000000,0.000000,0.000000,0.000000,0.000000,180.0000,0.0000,180.0000,180.0000,0.0000,180.0000
20,L7_Link3_1_L8_Link3_Shaft_1,Fixed,0.037000,0.000000,-0.005000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,L8_Link3_Shaft_1_L9_PLATE_v3_1,Fixed,0.090500,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,base_link_L1_Guide1_1,Fixed,0.289278,0.009431,0.000198,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,L1_Guide1_1_L2_Left_Wall1_1,Prismatic,-0.003000,0.007111,-0.018000,0.000000,0.000000,0.000000,0.0000,0.0000,180.0000,0.0000,0.0000,180.0000
24,L2_Left_Wall1_1_L3_RackGear_1,Fixed,0.000000,-0.003611,-0.028500,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,base_link_L1_Guide2_1,Fixed,0.289278,0.009431,-0.094802,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,base_link_L1_Slider_jig_1,Fixed,0.236278,0.009431,-0.047302,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
