NO.                 |Time                |Value               |Pressure            |
--------------------+--------------------+--------------------+--------------------+
24014               |오후 3:01:59          |0 N                 |0.0000MPa           |
24015               |오후 3:01:59          |0 N                 |0.0000MPa           |
24016               |오후 3:01:59          |0 N                 |0.0000MPa           |
24017               |오후 3:02:00          |0 N                 |0.0000MPa           |
24018               |오후 3:02:00          |0 N                 |0.0000MPa           |
24019               |오후 3:02:00          |0 N                 |0.0000MPa           |
24020               |오후 3:02:00          |3 N                 |3.0000MPa           |
24021               |오후 3:02:00          |76 N                |76.0000MPa          |
24022               |오후 3:02:01          |89 N                |89.0000MPa          |
24023               |오후 3:02:01          |88 N                |88.0000MPa          |
24024               |오후 3:02:01          |17 N                |17.0000MPa          |
24025               |오후 3:02:01          |0 N                 |0.0000MPa           |
24026               |오후 3:02:01          |0 N                 |0.0000MPa           |
24027               |오후 3:02:01          |0 N                 |0.0000MPa           |
24028               |오후 3:02:02          |0 N                 |0.0000MPa           |
24029               |오후 3:02:02          |0 N                 |0.0000MPa           |
24030               |오후 3:02:02          |0 N                 |0.0000MPa           |
24031               |오후 3:02:02          |0 N                 |0.0000MPa           |
24032               |오후 3:02:02          |0 N                 |0.0000MPa           |
24033               |오후 3:02:03          |0 N                 |0.0000MPa           |
24034               |오후 3:02:03          |0 N                 |0.0000MPa           |
24035               |오후 3:02:03          |0 N                 |0.0000MPa           |
24036               |오후 3:02:03          |0 N                 |0.0000MPa           |
24037               |오후 3:02:03          |0 N                 |0.0000MPa           |
24038               |오후 3:02:04          |0 N                 |0.0000MPa           |
24039               |오후 3:02:04          |0 N                 |0.0000MPa           |
24040               |오후 3:02:04          |0 N                 |0.0000MPa           |
24041               |오후 3:02:04          |0 N                 |0.0000MPa           |
24042               |오후 3:02:04          |0 N                 |0.0000MPa           |
24043               |오후 3:02:04          |0 N                 |0.0000MPa           |
24044               |오후 3:02:05          |0 N                 |0.0000MPa           |
24045               |오후 3:02:05          |0 N                 |0.0000MPa           |
24046               |오후 3:02:05          |0 N                 |0.0000MPa           |
24047               |오후 3:02:05          |0 N                 |0.0000MPa           |
24048               |오후 3:02:05          |0 N                 |0.0000MPa           |
24049               |오후 3:02:06          |0 N                 |0.0000MPa           |
24050               |오후 3:02:06          |0 N                 |0.0000MPa           |
24051               |오후 3:02:06          |0 N                 |0.0000MPa           |
24052               |오후 3:02:06          |0 N                 |0.0000MPa           |
24053               |오후 3:02:06          |0 N                 |0.0000MPa           |
24054               |오후 3:02:07          |0 N                 |0.0000MPa           |
24055               |오후 3:02:07          |0 N                 |0.0000MPa           |
24056               |오후 3:02:07          |0 N                 |0.0000MPa           |
24057               |오후 3:02:07          |0 N                 |0.0000MPa           |
24058               |오후 3:02:07          |4 N                 |4.0000MPa           |
24059               |오후 3:02:07          |127 N               |127.0000MPa         |
24060               |오후 3:02:08          |254 N               |254.0000MPa         |
24061               |오후 3:02:08          |336 N               |336.0000MPa         |
24062               |오후 3:02:08          |375 N               |375.0000MPa         |
24063               |오후 3:02:08          |376 N               |376.0000MPa         |
24064               |오후 3:02:08          |375 N               |375.0000MPa         |
24065               |오후 3:02:09          |375 N               |375.0000MPa         |
24066               |오후 3:02:09          |374 N               |374.0000MPa         |
24067               |오후 3:02:09          |374 N               |374.0000MPa         |
24068               |오후 3:02:09          |363 N               |363.0000MPa         |
24069               |오후 3:02:09          |115 N               |115.0000MPa         |
24070               |오후 3:02:10          |0 N                 |0.0000MPa           |
24071               |오후 3:02:10          |0 N                 |0.0000MPa           |
24072               |오후 3:02:10          |0 N                 |0.0000MPa           |
24073               |오후 3:02:10          |0 N                 |0.0000MPa           |
24074               |오후 3:02:10          |0 N                 |0.0000MPa           |
24075               |오후 3:02:11          |0 N                 |0.0000MPa           |
24076               |오후 3:02:11          |0 N                 |0.0000MPa           |
24077               |오후 3:02:11          |0 N                 |0.0000MPa           |
24078               |오후 3:02:11          |0 N                 |0.0000MPa           |
24079               |오후 3:02:11          |0 N                 |0.0000MPa           |
24080               |오후 3:02:11          |0 N                 |0.0000MPa           |
24081               |오후 3:02:12          |0 N                 |0.0000MPa           |
24082               |오후 3:02:12          |0 N                 |0.0000MPa           |
24083               |오후 3:02:12          |0 N                 |0.0000MPa           |
24084               |오후 3:02:12          |0 N                 |0.0000MPa           |
24085               |오후 3:02:12          |0 N                 |0.0000MPa           |
24086               |오후 3:02:13          |0 N                 |0.0000MPa           |
24087               |오후 3:02:13          |0 N                 |0.0000MPa           |
24088               |오후 3:02:13          |0 N                 |0.0000MPa           |
24089               |오후 3:02:13          |0 N                 |0.0000MPa           |
24090               |오후 3:02:13          |0 N                 |0.0000MPa           |
24091               |오후 3:02:14          |0 N                 |0.0000MPa           |
24092               |오후 3:02:14          |0 N                 |0.0000MPa           |
24093               |오후 3:02:14          |0 N                 |0.0000MPa           |
24094               |오후 3:02:14          |0 N                 |0.0000MPa           |
24095               |오후 3:02:14          |0 N                 |0.0000MPa           |
24096               |오후 3:02:14          |0 N                 |0.0000MPa           |
24097               |오후 3:02:15          |0 N                 |0.0000MPa           |
24098               |오후 3:02:15          |0 N                 |0.0000MPa           |
24099               |오후 3:02:15          |0 N                 |0.0000MPa           |
24100               |오후 3:02:15          |0 N                 |0.0000MPa           |
24101               |오후 3:02:15          |0 N                 |0.0000MPa           |
24102               |오후 3:02:16          |0 N                 |0.0000MPa           |
24103               |오후 3:02:16          |0 N                 |0.0000MPa           |
24104               |오후 3:02:16          |0 N                 |0.0000MPa           |
24105               |오후 3:02:16          |0 N                 |0.0000MPa           |
24106               |오후 3:02:16          |0 N                 |0.0000MPa           |
24107               |오후 3:02:17          |0 N                 |0.0000MPa           |
24108               |오후 3:02:17          |0 N                 |0.0000MPa           |
24109               |오후 3:02:17          |0 N                 |0.0000MPa           |
24110               |오후 3:02:17          |0 N                 |0.0000MPa           |
24111               |오후 3:02:17          |0 N                 |0.0000MPa           |
24112               |오후 3:02:17          |0 N                 |0.0000MPa           |
24113               |오후 3:02:18          |0 N                 |0.0000MPa           |
24114               |오후 3:02:18          |0 N                 |0.0000MPa           |
24115               |오후 3:02:18          |0 N                 |0.0000MPa           |
24116               |오후 3:02:18          |0 N                 |0.0000MPa           |
24117               |오후 3:02:18          |49 N                |49.0000MPa          |
24118               |오후 3:02:19          |198 N               |198.0000MPa         |
24119               |오후 3:02:19          |301 N               |301.0000MPa         |
24120               |오후 3:02:19          |368 N               |368.0000MPa         |
24121               |오후 3:02:19          |374 N               |374.0000MPa         |
24122               |오후 3:02:19          |373 N               |373.0000MPa         |
24123               |오후 3:02:20          |373 N               |373.0000MPa         |
24124               |오후 3:02:20          |373 N               |373.0000MPa         |
24125               |오후 3:02:20          |372 N               |372.0000MPa         |
24126               |오후 3:02:20          |372 N               |372.0000MPa         |
24127               |오후 3:02:20          |372 N               |372.0000MPa         |
24128               |오후 3:02:21          |205 N               |205.0000MPa         |
24129               |오후 3:02:21          |13 N                |13.0000MPa          |
24130               |오후 3:02:21          |0 N                 |0.0000MPa           |
24131               |오후 3:02:21          |0 N                 |0.0000MPa           |
24132               |오후 3:02:21          |0 N                 |0.0000MPa           |
24133               |오후 3:02:21          |0 N                 |0.0000MPa           |
24134               |오후 3:02:22          |0 N                 |0.0000MPa           |
24135               |오후 3:02:22          |0 N                 |0.0000MPa           |
24136               |오후 3:02:22          |0 N                 |0.0000MPa           |
24137               |오후 3:02:22          |0 N                 |0.0000MPa           |
24138               |오후 3:02:22          |0 N                 |0.0000MPa           |
24139               |오후 3:02:23          |0 N                 |0.0000MPa           |
24140               |오후 3:02:23          |0 N                 |0.0000MPa           |
24141               |오후 3:02:23          |0 N                 |0.0000MPa           |
24142               |오후 3:02:23          |0 N                 |0.0000MPa           |
24143               |오후 3:02:23          |0 N                 |0.0000MPa           |
24144               |오후 3:02:24          |0 N                 |0.0000MPa           |
24145               |오후 3:02:24          |0 N                 |0.0000MPa           |
24146               |오후 3:02:24          |0 N                 |0.0000MPa           |
