NO.                 |Time                |Value               |Pressure            |
--------------------+--------------------+--------------------+--------------------+
16548               |오후 2:30:56          |435 N               |435.0000MPa         |
16549               |오후 2:30:56          |434 N               |434.0000MPa         |
16550               |오후 2:30:56          |434 N               |434.0000MPa         |
16551               |오후 2:30:56          |433 N               |433.0000MPa         |
16552               |오후 2:30:56          |433 N               |433.0000MPa         |
16553               |오후 2:30:57          |416 N               |416.0000MPa         |
16554               |오후 2:30:57          |165 N               |165.0000MPa         |
16555               |오후 2:30:57          |3 N                 |3.0000MPa           |
16556               |오후 2:30:57          |0 N                 |0.0000MPa           |
16557               |오후 2:30:57          |0 N                 |0.0000MPa           |
16558               |오후 2:30:57          |0 N                 |0.0000MPa           |
16559               |오후 2:30:58          |0 N                 |0.0000MPa           |
16560               |오후 2:30:58          |0 N                 |0.0000MPa           |
16561               |오후 2:30:58          |0 N                 |0.0000MPa           |
16562               |오후 2:30:58          |0 N                 |0.0000MPa           |
16563               |오후 2:30:58          |0 N                 |0.0000MPa           |
16564               |오후 2:30:59          |0 N                 |0.0000MPa           |
16565               |오후 2:30:59          |0 N                 |0.0000MPa           |
16566               |오후 2:30:59          |0 N                 |0.0000MPa           |
16567               |오후 2:30:59          |0 N                 |0.0000MPa           |
16568               |오후 2:30:59          |0 N                 |0.0000MPa           |
16569               |오후 2:31:00          |0 N                 |0.0000MPa           |
16570               |오후 2:31:00          |0 N                 |0.0000MPa           |
16571               |오후 2:31:00          |0 N                 |0.0000MPa           |
16572               |오후 2:31:00          |0 N                 |0.0000MPa           |
16573               |오후 2:31:00          |0 N                 |0.0000MPa           |
16574               |오후 2:31:00          |0 N                 |0.0000MPa           |
16575               |오후 2:31:01          |0 N                 |0.0000MPa           |
16576               |오후 2:31:01          |0 N                 |0.0000MPa           |
16577               |오후 2:31:01          |0 N                 |0.0000MPa           |
16578               |오후 2:31:01          |0 N                 |0.0000MPa           |
16579               |오후 2:31:01          |0 N                 |0.0000MPa           |
16580               |오후 2:31:02          |0 N                 |0.0000MPa           |
