NO.                 |Time                |Value               |Pressure            |
--------------------+--------------------+--------------------+--------------------+
0                   |오후 12:36:40         |0 N                 |0.0000MPa           |
1                   |오후 12:36:40         |0 N                 |0.0000MPa           |
2                   |오후 12:36:41         |0 N                 |0.0000MPa           |
3                   |오후 12:36:41         |0 N                 |0.0000MPa           |
4                   |오후 12:36:41         |0 N                 |0.0000MPa           |
5                   |오후 12:36:41         |0 N                 |0.0000MPa           |
6                   |오후 12:36:41         |0 N                 |0.0000MPa           |
7                   |오후 12:36:41         |0 N                 |0.0000MPa           |
8                   |오후 12:36:42         |0 N                 |0.0000MPa           |
9                   |오후 12:36:42         |0 N                 |0.0000MPa           |
10                  |오후 12:36:42         |0 N                 |0.0000MPa           |
11                  |오후 12:36:42         |0 N                 |0.0000MPa           |
12                  |오후 12:36:42         |0 N                 |0.0000MPa           |
13                  |오후 12:36:43         |0 N                 |0.0000MPa           |
14                  |오후 12:36:43         |0 N                 |0.0000MPa           |
15                  |오후 12:36:43         |0 N                 |0.0000MPa           |
16                  |오후 12:36:43         |0 N                 |0.0000MPa           |
17                  |오후 12:36:43         |0 N                 |0.0000MPa           |
18                  |오후 12:36:44         |0 N                 |0.0000MPa           |
19                  |오후 12:36:44         |0 N                 |0.0000MPa           |
20                  |오후 12:36:44         |0 N                 |0.0000MPa           |
21                  |오후 12:36:44         |0 N                 |0.0000MPa           |
22                  |오후 12:36:44         |0 N                 |0.0000MPa           |
23                  |오후 12:36:45         |0 N                 |0.0000MPa           |
24                  |오후 12:36:45         |0 N                 |0.0000MPa           |
25                  |오후 12:36:45         |0 N                 |0.0000MPa           |
26                  |오후 12:36:45         |0 N                 |0.0000MPa           |
27                  |오후 12:36:45         |0 N                 |0.0000MPa           |
28                  |오후 12:36:45         |0 N                 |0.0000MPa           |
29                  |오후 12:36:46         |0 N                 |0.0000MPa           |
30                  |오후 12:36:46         |0 N                 |0.0000MPa           |
31                  |오후 12:36:46         |0 N                 |0.0000MPa           |
32                  |오후 12:36:46         |0 N                 |0.0000MPa           |
33                  |오후 12:36:46         |0 N                 |0.0000MPa           |
34                  |오후 12:36:47         |0 N                 |0.0000MPa           |
35                  |오후 12:36:47         |0 N                 |0.0000MPa           |
36                  |오후 12:36:47         |0 N                 |0.0000MPa           |
37                  |오후 12:36:47         |0 N                 |0.0000MPa           |
38                  |오후 12:36:47         |0 N                 |0.0000MPa           |
39                  |오후 12:36:48         |0 N                 |0.0000MPa           |
40                  |오후 12:36:48         |0 N                 |0.0000MPa           |
41                  |오후 12:36:48         |0 N                 |0.0000MPa           |
42                  |오후 12:36:48         |0 N                 |0.0000MPa           |
43                  |오후 12:36:48         |0 N                 |0.0000MPa           |
44                  |오후 12:36:48         |0 N                 |0.0000MPa           |
45                  |오후 12:36:49         |1 N                 |1.0000MPa           |
46                  |오후 12:36:49         |55 N                |55.0000MPa          |
47                  |오후 12:36:49         |174 N               |174.0000MPa         |
48                  |오후 12:36:49         |343 N               |343.0000MPa         |
49                  |오후 12:36:49         |514 N               |514.0000MPa         |
50                  |오후 12:36:50         |669 N               |669.0000MPa         |
51                  |오후 12:36:50         |785 N               |785.0000MPa         |
52                  |오후 12:36:50         |839 N               |839.0000MPa         |
53                  |오후 12:36:50         |386 N               |386.0000MPa         |
54                  |오후 12:36:50         |147 N               |147.0000MPa         |
55                  |오후 12:36:51         |27 N                |27.0000MPa          |
56                  |오후 12:36:51         |0 N                 |0.0000MPa           |
57                  |오후 12:36:51         |0 N                 |0.0000MPa           |
58                  |오후 12:36:51         |0 N                 |0.0000MPa           |
59                  |오후 12:36:51         |0 N                 |0.0000MPa           |
60                  |오후 12:36:51         |0 N                 |0.0000MPa           |
61                  |오후 12:36:52         |0 N                 |0.0000MPa           |
62                  |오후 12:36:52         |0 N                 |0.0000MPa           |
63                  |오후 12:36:52         |0 N                 |0.0000MPa           |
64                  |오후 12:36:52         |0 N                 |0.0000MPa           |
65                  |오후 12:36:52         |0 N                 |0.0000MPa           |
66                  |오후 12:36:53         |0 N                 |0.0000MPa           |
67                  |오후 12:36:53         |0 N                 |0.0000MPa           |
68                  |오후 12:36:53         |0 N                 |0.0000MPa           |
69                  |오후 12:36:53         |0 N                 |0.0000MPa           |
70                  |오후 12:36:53         |0 N                 |0.0000MPa           |
71                  |오후 12:36:54         |0 N                 |0.0000MPa           |
72                  |오후 12:36:54         |0 N                 |0.0000MPa           |
73                  |오후 12:36:54         |0 N                 |0.0000MPa           |
74                  |오후 12:36:54         |0 N                 |0.0000MPa           |
75                  |오후 12:36:54         |0 N                 |0.0000MPa           |
76                  |오후 12:36:54         |0 N                 |0.0000MPa           |
77                  |오후 12:36:55         |0 N                 |0.0000MPa           |
78                  |오후 12:36:55         |0 N                 |0.0000MPa           |
79                  |오후 12:36:55         |0 N                 |0.0000MPa           |
80                  |오후 12:36:55         |0 N                 |0.0000MPa           |
81                  |오후 12:36:55         |0 N                 |0.0000MPa           |
82                  |오후 12:36:56         |0 N                 |0.0000MPa           |
83                  |오후 12:36:56         |0 N                 |0.0000MPa           |
84                  |오후 12:36:56         |0 N                 |0.0000MPa           |
85                  |오후 12:36:56         |0 N                 |0.0000MPa           |
86                  |오후 12:36:56         |0 N                 |0.0000MPa           |
87                  |오후 12:36:57         |0 N                 |0.0000MPa           |
