NO.                 |Time                |Value               |Pressure            |
--------------------+--------------------+--------------------+--------------------+
19744               |오후 2:44:55          |495 N               |495.0000MPa         |
19745               |오후 2:44:55          |494 N               |494.0000MPa         |
19746               |오후 2:44:55          |494 N               |494.0000MPa         |
19747               |오후 2:44:55          |493 N               |493.0000MPa         |
19748               |오후 2:44:55          |444 N               |444.0000MPa         |
19749               |오후 2:44:56          |442 N               |442.0000MPa         |
19750               |오후 2:44:56          |273 N               |273.0000MPa         |
19751               |오후 2:44:56          |35 N                |35.0000MPa          |
19752               |오후 2:44:56          |0 N                 |0.0000MPa           |
19753               |오후 2:44:56          |0 N                 |0.0000MPa           |
19754               |오후 2:44:57          |0 N                 |0.0000MPa           |
19755               |오후 2:44:57          |0 N                 |0.0000MPa           |
19756               |오후 2:44:57          |0 N                 |0.0000MPa           |
19757               |오후 2:44:57          |0 N                 |0.0000MPa           |
19758               |오후 2:44:57          |0 N                 |0.0000MPa           |
19759               |오후 2:44:58          |0 N                 |0.0000MPa           |
19760               |오후 2:44:58          |0 N                 |0.0000MPa           |
19761               |오후 2:44:58          |0 N                 |0.0000MPa           |
19762               |오후 2:44:58          |0 N                 |0.0000MPa           |
19763               |오후 2:44:58          |0 N                 |0.0000MPa           |
19764               |오후 2:44:58          |0 N                 |0.0000MPa           |
19765               |오후 2:44:59          |0 N                 |0.0000MPa           |
19766               |오후 2:44:59          |0 N                 |0.0000MPa           |
19767               |오후 2:44:59          |0 N                 |0.0000MPa           |
19768               |오후 2:44:59          |0 N                 |0.0000MPa           |
19769               |오후 2:44:59          |0 N                 |0.0000MPa           |
19770               |오후 2:45:00          |0 N                 |0.0000MPa           |
19771               |오후 2:45:00          |0 N                 |0.0000MPa           |
19772               |오후 2:45:00          |0 N                 |0.0000MPa           |
19773               |오후 2:45:00          |0 N                 |0.0000MPa           |
19774               |오후 2:45:00          |0 N                 |0.0000MPa           |
19775               |오후 2:45:01          |0 N                 |0.0000MPa           |
19776               |오후 2:45:01          |0 N                 |0.0000MPa           |
19777               |오후 2:45:01          |0 N                 |0.0000MPa           |
19778               |오후 2:45:01          |0 N                 |0.0000MPa           |
19779               |오후 2:45:01          |0 N                 |0.0000MPa           |
19780               |오후 2:45:02          |0 N                 |0.0000MPa           |
19781               |오후 2:45:02          |0 N                 |0.0000MPa           |
19782               |오후 2:45:02          |0 N                 |0.0000MPa           |
19783               |오후 2:45:02          |0 N                 |0.0000MPa           |
19784               |오후 2:45:02          |0 N                 |0.0000MPa           |
19785               |오후 2:45:02          |0 N                 |0.0000MPa           |
19786               |오후 2:45:03          |0 N                 |0.0000MPa           |
19787               |오후 2:45:03          |0 N                 |0.0000MPa           |
19788               |오후 2:45:03          |0 N                 |0.0000MPa           |
19789               |오후 2:45:03          |0 N                 |0.0000MPa           |
19790               |오후 2:45:03          |0 N                 |0.0000MPa           |
19791               |오후 2:45:04          |0 N                 |0.0000MPa           |
19792               |오후 2:45:04          |4 N                 |4.0000MPa           |
19793               |오후 2:45:04          |139 N               |139.0000MPa         |
19794               |오후 2:45:04          |266 N               |266.0000MPa         |
19795               |오후 2:45:04          |363 N               |363.0000MPa         |
19796               |오후 2:45:05          |433 N               |433.0000MPa         |
19797               |오후 2:45:05          |491 N               |491.0000MPa         |
19798               |오후 2:45:05          |507 N               |507.0000MPa         |
19799               |오후 2:45:05          |506 N               |506.0000MPa         |
19800               |오후 2:45:05          |506 N               |506.0000MPa         |
19801               |오후 2:45:05          |505 N               |505.0000MPa         |
19802               |오후 2:45:06          |505 N               |505.0000MPa         |
19803               |오후 2:45:06          |505 N               |505.0000MPa         |
19804               |오후 2:45:06          |437 N               |437.0000MPa         |
19805               |오후 2:45:06          |140 N               |140.0000MPa         |
19806               |오후 2:45:06          |2 N                 |2.0000MPa           |
19807               |오후 2:45:07          |0 N                 |0.0000MPa           |
19808               |오후 2:45:07          |0 N                 |0.0000MPa           |
19809               |오후 2:45:07          |0 N                 |0.0000MPa           |
19810               |오후 2:45:07          |0 N                 |0.0000MPa           |
19811               |오후 2:45:07          |0 N                 |0.0000MPa           |
19812               |오후 2:45:08          |0 N                 |0.0000MPa           |
19813               |오후 2:45:08          |0 N                 |0.0000MPa           |
19814               |오후 2:45:08          |0 N                 |0.0000MPa           |
19815               |오후 2:45:08          |0 N                 |0.0000MPa           |
