NO.                 |Time                |Value               |Pressure            |
--------------------+--------------------+--------------------+--------------------+
10005               |오후 2:01:13          |140 N               |140.0000MPa         |
10006               |오후 2:01:14          |318 N               |318.0000MPa         |
10007               |오후 2:01:14          |440 N               |440.0000MPa         |
10008               |오후 2:01:14          |490 N               |490.0000MPa         |
10009               |오후 2:01:14          |502 N               |502.0000MPa         |
10010               |오후 2:01:14          |501 N               |501.0000MPa         |
10011               |오후 2:01:14          |500 N               |500.0000MPa         |
10012               |오후 2:01:15          |499 N               |499.0000MPa         |
10013               |오후 2:01:15          |498 N               |498.0000MPa         |
10014               |오후 2:01:15          |470 N               |470.0000MPa         |
10015               |오후 2:01:15          |148 N               |148.0000MPa         |
10016               |오후 2:01:15          |2 N                 |2.0000MPa           |
10017               |오후 2:01:16          |0 N                 |0.0000MPa           |
10018               |오후 2:01:16          |0 N                 |0.0000MPa           |
10019               |오후 2:01:16          |0 N                 |0.0000MPa           |
10020               |오후 2:01:16          |0 N                 |0.0000MPa           |
10021               |오후 2:01:16          |0 N                 |0.0000MPa           |
10022               |오후 2:01:17          |0 N                 |0.0000MPa           |
10023               |오후 2:01:17          |0 N                 |0.0000MPa           |
10024               |오후 2:01:17          |0 N                 |0.0000MPa           |
10025               |오후 2:01:17          |0 N                 |0.0000MPa           |
10026               |오후 2:01:17          |0 N                 |0.0000MPa           |
10027               |오후 2:01:17          |0 N                 |0.0000MPa           |
10028               |오후 2:01:18          |0 N                 |0.0000MPa           |
10029               |오후 2:01:18          |0 N                 |0.0000MPa           |
10030               |오후 2:01:18          |0 N                 |0.0000MPa           |
10031               |오후 2:01:18          |0 N                 |0.0000MPa           |
10032               |오후 2:01:18          |0 N                 |0.0000MPa           |
10033               |오후 2:01:19          |0 N                 |0.0000MPa           |
10034               |오후 2:01:19          |0 N                 |0.0000MPa           |
10035               |오후 2:01:19          |0 N                 |0.0000MPa           |
10036               |오후 2:01:19          |0 N                 |0.0000MPa           |
10037               |오후 2:01:19          |0 N                 |0.0000MPa           |
10038               |오후 2:01:19          |0 N                 |0.0000MPa           |
10039               |오후 2:01:20          |0 N                 |0.0000MPa           |
10040               |오후 2:01:20          |0 N                 |0.0000MPa           |
10041               |오후 2:01:20          |0 N                 |0.0000MPa           |
10042               |오후 2:01:20          |0 N                 |0.0000MPa           |
10043               |오후 2:01:20          |0 N                 |0.0000MPa           |
10044               |오후 2:01:21          |0 N                 |0.0000MPa           |
10045               |오후 2:01:21          |0 N                 |0.0000MPa           |
10046               |오후 2:01:21          |0 N                 |0.0000MPa           |
