NO.                 |Time                |Value               |Pressure            |
--------------------+--------------------+--------------------+--------------------+
13190               |오후 2:13:47          |0 N                 |0.0000MPa           |
13191               |오후 2:13:47          |0 N                 |0.0000MPa           |
13192               |오후 2:13:47          |5 N                 |5.0000MPa           |
13193               |오후 2:13:47          |149 N               |149.0000MPa         |
13194               |오후 2:13:47          |301 N               |301.0000MPa         |
13195               |오후 2:13:48          |417 N               |417.0000MPa         |
13196               |오후 2:13:48          |491 N               |491.0000MPa         |
13197               |오후 2:13:48          |516 N               |516.0000MPa         |
13198               |오후 2:13:48          |516 N               |516.0000MPa         |
13199               |오후 2:13:48          |515 N               |515.0000MPa         |
13200               |오후 2:13:49          |515 N               |515.0000MPa         |
13201               |오후 2:13:49          |514 N               |514.0000MPa         |
13202               |오후 2:13:49          |513 N               |513.0000MPa         |
13203               |오후 2:13:49          |513 N               |513.0000MPa         |
13204               |오후 2:13:49          |246 N               |246.0000MPa         |
13205               |오후 2:13:50          |11 N                |11.0000MPa          |
13206               |오후 2:13:50          |0 N                 |0.0000MPa           |
13207               |오후 2:13:50          |0 N                 |0.0000MPa           |
13208               |오후 2:13:50          |0 N                 |0.0000MPa           |
13209               |오후 2:13:50          |0 N                 |0.0000MPa           |
13210               |오후 2:13:50          |0 N                 |0.0000MPa           |
13211               |오후 2:13:51          |0 N                 |0.0000MPa           |
13212               |오후 2:13:51          |0 N                 |0.0000MPa           |
13213               |오후 2:13:51          |0 N                 |0.0000MPa           |
13214               |오후 2:13:51          |0 N                 |0.0000MPa           |
13215               |오후 2:13:51          |0 N                 |0.0000MPa           |
13216               |오후 2:13:52          |0 N                 |0.0000MPa           |
13217               |오후 2:13:52          |0 N                 |0.0000MPa           |
13218               |오후 2:13:52          |0 N                 |0.0000MPa           |
13219               |오후 2:13:52          |0 N                 |0.0000MPa           |
13220               |오후 2:13:52          |0 N                 |0.0000MPa           |
13221               |오후 2:13:53          |0 N                 |0.0000MPa           |
13222               |오후 2:13:53          |0 N                 |0.0000MPa           |
13223               |오후 2:13:53          |0 N                 |0.0000MPa           |
13224               |오후 2:13:53          |0 N                 |0.0000MPa           |
13225               |오후 2:13:53          |0 N                 |0.0000MPa           |
13226               |오후 2:13:54          |0 N                 |0.0000MPa           |
13227               |오후 2:13:54          |0 N                 |0.0000MPa           |
13228               |오후 2:13:54          |0 N                 |0.0000MPa           |
13229               |오후 2:13:54          |0 N                 |0.0000MPa           |
13230               |오후 2:13:54          |0 N                 |0.0000MPa           |
13231               |오후 2:13:54          |0 N                 |0.0000MPa           |
13232               |오후 2:13:55          |0 N                 |0.0000MPa           |
13233               |오후 2:13:55          |0 N                 |0.0000MPa           |
