record_type,component,joint,occurrence_path,tag,other_component,world_x_m,world_y_m,world_z_m,local_x_m,local_y_m,local_z_m,distance_m,anchor_vec_x_m,anchor_vec_y_m,anchor_vec_z_m
anchor,M_Back,M_Bottom_M_Back,,One,M_Bottom,-0.0049999999999929354,0.037879848986462954,0.019999999999998037,0.0004926626193922478,-0.012802318780387898,-0.03693776084144231,,,,
anchor,M_Bottom,M_Bottom_M_Back,,Two,M_Back,-0.004999999999992944,0.03787984898646297,0.019999999999998037,0.0004215929884740577,-0.012802318780387912,-0.0369377608414423,,,,
anchor,M_Left2,MBottom_MLeft2,,One,M_Bottom,-0.02499999999999616,0.017879848986466537,0.020000000000001607,0.020421592988474062,-0.012802318780387699,-0.056937760841441934,,,,
anchor,M_Bottom,MBottom_MLeft2,,Two,M_Left2,-0.02499999999999616,0.017879848986466787,0.020000000000001607,0.020421592988474062,-0.012802318780387699,-0.05693776084144169,,,,
anchor,M_Right2,MBottom_MRight2,,One,M_Bottom,-0.02481588550449909,0.10015459323407523,0.01900920557304375,0.020237478492990072,-0.01379311320734054,0.025336983406166854,,,,
anchor,M_Bottom,MBottom_MRight2,,Two,M_Right2,-0.02481588550449909,0.10015459323407491,0.01900920557304375,0.020237478492990072,-0.01379311320734054,0.025336983406166535,,,,
anchor,LeftSlider2,MLeft2_LeftSlider2,,One,M_Left2,-0.024907047594009236,0.012879848986454317,0.0324999999999997,0.11999421291464192,-0.0022661909060012063,-0.06485228374239635,,,,
anchor,M_Left2,MLeft2_LeftSlider2,,Two,LeftSlider2,-0.024907047594010627,0.012879848986467284,0.03250000000000183,0.02032864058248907,-0.00030231878038776026,-0.06193776084144194,,,,
anchor,RightSlider2,MRight2_RightSlider2,,One,M_Right2,-0.02624989036954375,0.10515459323408888,0.0324999999999967,0.04065819224038252,0.0022898606725952142,-0.12171858211560906,,,,
anchor,M_Right2,MRight2_RightSlider2,,Two,RightSlider2,-0.026249890369543435,0.1051545932340766,0.03249999999999638,0.021671483358036658,-0.00030231878038775587,0.030336983406167174,,,,
anchor,M_Top,MBack_MTop,,One,M_Back,-0.0024999999999914054,0.030817608725221452,0.04799999999999836,-0.002007337380607397,0.015197681219612283,-0.04400000110268513,,,,
anchor,M_Back,MBack_MTop,,Two,M_Top,-0.002499999999991425,0.030817608725221445,0.04799999999999838,-0.002007337380607397,0.015197681219612283,-0.044000001102685114,,,,
