theta_deg,contact_deg,mean_peak_N,n_strikes
15,15,0.0,0
30,30.413467656793713,841.1453294117727,25
45,46.137816260184906,612.7632082473111,25
60,60.65159119008415,536.6339549006128,25
75,75.33044507110445,510.9611981646042,25
90,90.20076939380657,524.6082550460173,25
105,105.20655171091398,570.9553264349394,25
120,120.06796014213991,665.1709958645126,25
