t_s,F_N
2.405999999999846,3.179895152040205
2.406999999999846,2.0502076318177465
2.407999999999846,2.7321225297568303
2.4089999999998457,6.524319450426202
2.4099999999998456,-2.6288940254903395
2.4109999999998455,-4.403977892549724
2.4119999999998454,-3.2051408543423845
2.4129999999998453,-3.0732572024362304
2.413999999999845,-1.4816518189747034
2.414999999999845,-2.1962533996169014
2.415999999999845,0.6458685251445314
2.416999999999845,0.3322374171609949
2.4179999999998447,-2.3123060419278896
2.4189999999998446,-2.018259397235886
2.4199999999998445,-0.622768608613877
2.4209999999998444,4.240409657499033
2.4219999999998443,-1.3427383324692532
2.422999999999844,-2.2275344239572505
2.423999999999844,-2.7175275133731254
2.424999999999844,0.5800160862334274
2.425999999999844,0.6957974890310213
2.4269999999998437,-3.8906879793105977
2.4279999999998436,1.3057571149547338
2.4289999999998435,4.632741338664168
2.4299999999998434,-3.491414560065786
2.4309999999998433,1.9566896221052894
2.431999999999843,9.696980302277348
2.432999999999843,-1.1092982588760323
2.433999999999843,-5.576566029489446
2.434999999999843,-1.0627182009943787
2.4359999999998427,3.1013557845641704
2.4369999999998426,1.3809981287428548
2.4379999999998425,4.349971280479642
2.4389999999998424,0.5471345330611774
2.4399999999998423,0.5427931287682679
2.440999999999842,2.94564191788512
2.441999999999842,4.069316401655053
2.442999999999842,7.808750867634954
2.443999999999842,1.6311196703435775
2.4449999999998417,-1.5772751501770192
2.4459999999998416,5.075604419282562
2.4469999999998415,2.052360653278985
2.4479999999998414,-3.356690271705934
2.4489999999998413,1.2236133975139691
2.449999999999841,-3.7497852061396477
2.450999999999841,-1.6029399434409441
2.451999999999841,3.0254113753640954
2.452999999999841,0.05038159493148922
2.4539999999998408,5.508452028495837
2.4549999999998406,-2.3644083226560433
2.4559999999998405,0.8288934735260499
2.4569999999998404,-0.8130161595986818
2.4579999999998403,8.558026375123537
2.45899999999984,2.7546315872714136
2.45999999999984,7.112815253274899
2.46099999999984,-2.503732262004283
2.46199999999984,0.3977835760614429
2.4629999999998398,-2.7281504935054017
2.4639999999998397,4.000599411375489
2.4649999999998395,5.59177721228087
2.4659999999998394,-6.8571396395596595
2.4669999999998393,-4.730895631748019
2.467999999999839,-10.300378183718886
2.468999999999839,0.23673727875383332
2.469999999999839,-4.790952214979572
2.470999999999839,-1.8050792765140165
2.4719999999998388,7.505017131761065
2.4729999999998387,-2.13422993262731
2.4739999999998386,-6.694948127478355
2.4749999999998384,8.098035019035445
2.4759999999998383,0.4663437504296177
2.476999999999838,1.3279473395936854
2.477999999999838,-0.3639810493926466
2.478999999999838,2.2854554665642324
2.479999999999838,8.15133885326406
2.480999999999838,1.630945887903399
2.4819999999998377,-4.038057112231096
2.4829999999998376,-1.5111351323462525
2.4839999999998374,-8.324179606813686
2.4849999999998373,0.908208993128759
2.4859999999998372,6.175099771835336
2.486999999999837,-0.08713639978655957
2.487999999999837,1.1008004960313489
2.488999999999837,-2.989346158778468
2.489999999999837,-0.9806440234995949
2.4909999999998367,-2.180036627931684
2.4919999999998366,2.4101073503833534
2.4929999999998365,-3.2039783316302213
2.4939999999998363,7.511713036285287
2.4949999999998362,1.2885576522883935
2.495999999999836,2.7361623569790297
2.496999999999836,-1.7235859961243063
2.497999999999836,-2.668831207486704
2.498999999999836,1.2634567834176713
2.4999999999998357,-1.8760176210136577
2.5009999999998356,0.2685463082507322
2.5019999999998355,-1.5310644099524786
2.5029999999998354,1.3958470513376307
2.5039999999998352,3.1975169349303942
2.504999999999835,0.06360274513501034
2.505999999999835,-1.3349946980054757
2.506999999999835,3.7049305870988176
2.507999999999835,-1.748881956715864
2.5089999999998347,-1.986720068880111
2.5099999999998346,-1.3962800963597493
2.5109999999998345,-0.2244138425151493
2.5119999999998344,-2.4425133139209265
2.5129999999998343,0.6192238514997416
2.513999999999834,-2.0001647021532705
2.514999999999834,2.2775282813497038
2.515999999999834,9.630159500086606
2.516999999999834,-0.6069346560718302
2.5179999999998337,-2.894941548701076
2.5189999999998336,-0.32124923018663887
2.5199999999998335,2.3458040101261965
2.5209999999998334,-5.158996509367936
2.5219999999998333,3.5483300290688904
2.522999999999833,1.8802363379709905
2.523999999999833,5.471966206680625
2.524999999999833,1.028349715200223
