filename,n_vertices,n_faces,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,extent_x,extent_y,extent_z,bbox_diagonal,principal_length,centroid_x,centroid_y,centroid_z,is_watertight,volume
Bearing1_1.stl,37566,12522,-113.43290710449219,57.60651397705078,19.379777908325195,-96.43290710449219,74.60651397705078,24.379777908325195,17.0,17.0,5.0,24.55605831561735,17.0000483577839,-104.54355013683404,65.36465263864277,21.880110855155344,False,
Bearing1_1_hull.stl,6216,2072,-113.43290710449219,57.60651397705078,19.379777908325195,-96.43290710449219,74.60651397705078,24.379777908325195,17.0,17.0,5.0,24.55605831561735,16.994788248280138,-104.74466751471756,66.21393383792008,21.879777334218165,True,1133.2142942854464
C-SSRY20200_b.stl,8712,2904,98.73633575439453,-9.968606948852539,-70.194091796875,198.97230529785156,10.015946388244629,-63.094093322753906,100.23596954345703,19.984553337097168,7.099998474121094,102.4550727916029,100.30006971658995,153.28127910414347,0.02368083579809541,-66.35116415225222,True,3874.8823122564972
CSK_1.stl,2850,950,-96.51451110839844,54.22093200683594,34.66446304321289,-86.51777648925781,64.21929931640625,49.66446304321289,9.996734619140625,9.998367309570312,15.0,20.61315240089708,15.000197552254884,-91.51443830523574,59.220118111058284,44.120424381724575,True,376.1646287155384
Crank_1.stl,11244,3748,-97.81588745117188,53.54679870605469,40.87977600097656,-17.217626571655273,74.18328094482422,46.87977600097656,80.5982608795166,20.63648223876953,6.0,83.41429167710811,80.0087908833855,-57.50209796220881,63.86394588500314,43.15405674041781,True,6694.949528064765
Crank_1_hull.stl,84,28,-97.81588745117188,53.54679870605469,40.87977600097656,-17.217626571655273,74.18328094482422,46.87977600097656,80.5982608795166,20.63648223876953,6.0,83.41429167710811,80.02046153104274,-59.463681811378116,64.01091375805083,43.87977600097656,True,7152.001581499935
E-SFGKRRA10-45-F3-S21-KA0-A20 v1.stl,3300,1100,-5.949999809265137,-23.149999618530273,-6.149612903594971,8.447041511535645,-22.149999618530273,6.149612903594971,14.397041320800781,1.0,12.299225807189941,18.961691755987708,14.397127790000225,-0.013006574183589581,-22.649999618530273,1.336408383918531e-05,True,59.28487590560169
F_Back_1.stl,2712,904,-144.1446990966797,13.765124320983887,14.379776954650879,-132.8779296875,122.30282592773438,48.0,11.266769409179688,108.53770160675049,33.62022304534912,114.18271393085145,108.44046413387883,-138.6497583754998,68.07938242591588,34.164259767110366,True,17559.15907192817
F_Back_1_hull.stl,174,58,-144.1446990966797,13.765124320983887,14.379776954650879,-132.8779296875,122.30282592773438,48.0,11.266769409179688,108.53770160675049,33.62022304534912,114.18271393085145,108.66596037566278,-138.76167858606098,72.40209775683523,31.355402151743572,True,18227.24999180325
F_LeftLink_1.stl,1812,604,-93.69345092773438,17.566774368286133,48.0,-87.54437255859375,37.82261657714844,148.0,6.149078369140625,20.255842208862305,100.0,102.21599829958205,100.03773590571154,-90.85050772357461,23.699617078499024,71.15822970367162,True,9632.377758056025
F_LeftLink_1_hull.stl,342,114,-93.69345092773438,17.566774368286133,48.0,-87.54437255859375,37.82261657714844,148.0,6.149078369140625,20.255842208862305,100.0,102.21599829958205,100.0169362882905,-90.57729466756184,27.654762569226715,60.75561234546684,True,9864.65881014741
F_Left_1.stl,2352,784,-144.43406677246094,5.87137508392334,2.290168055196773e-11,-89.09044647216797,14.054489135742188,48.0,55.34362030029297,8.183114051818848,47.9999999999771,73.71485375096309,61.78919095353011,-121.36146913580343,10.21382326151238,36.650531841784826,True,12889.360625032428
F_Left_1_hull.stl,72,24,-144.43406677246094,5.87137508392334,2.290168055196773e-11,-89.09044647216797,14.054489135742188,48.0,55.34362030029297,8.183114051818848,47.9999999999771,73.71485375096309,61.422176590021344,-121.07707680596246,9.795695781707764,27.32404976421757,True,13235.205579678739
F_RightLink2_1.stl,5004,1668,-101.33287811279297,92.84618377685547,58.0,-87.88159942626953,113.39138793945312,103.0,13.451278686523438,20.545204162597656,45.0,51.264435161087455,47.60095001098243,-93.75153449475528,100.02121101123252,75.4482097793445,True,4823.845264384706
F_RightLink2_1_hull.stl,186,62,-101.33287811279297,92.84618377685547,58.0,-87.88159942626953,113.39138793945312,103.0,13.451278686523438,20.545204162597656,45.0,51.264435161087455,47.234785229009574,-94.47989588911815,99.9610855758831,85.52375518634756,True,8402.747434066952
F_RightLink_1.stl,1812,604,-89.35298919677734,92.44107055664062,48.0,-83.20391082763672,112.69691467285156,148.0,6.149078369140625,20.255844116210938,100.0,102.2159986775557,100.03773587807908,-86.0468565286127,106.56407367209462,71.15822870789248,True,9632.380811653913
