# Velocity Control — Viewer
# STL,tablet_R4.0_AR1.17_CV0.29.stl,R_mm,4.0,AR,1.17,CV,0.29
# target_rpm,8.0,kv,14.920775914865189,forcelim,12.5
# density_kg_m3,1200.0
# F_Y_max,0.00000,F_Y_min,-837.39838,Impulse_Ns,-1566.864552

Time_s,Crank_deg,F_Y_N,Crank_RPM,ncon
0.50100,-89.958,0.00000,-0.3293,0
0.50200,-89.960,0.00000,-0.3340,0
0.50300,-89.962,0.00000,-0.3382,0
0.50400,-89.965,0.00000,-0.3420,0
0.50500,-89.967,0.00000,-0.3452,0
0.50600,-89.969,0.00000,-0.3479,0
0.50700,-89.971,0.00000,-0.3501,0
0.50800,-89.973,0.00000,-0.3518,0
0.50900,-89.975,0.00000,-0.3531,0
0.51000,-89.977,0.00000,-0.3538,0
0.51100,-89.979,0.00000,-0.3541,0
0.51200,-89.981,0.00000,-0.3539,0
0.51300,-89.983,0.00000,-0.3533,0
0.51400,-89.986,0.00000,-0.3522,0
0.51500,-89.988,0.00000,-0.3506,0
0.51600,-89.990,0.00000,-0.3486,0
0.51700,-89.992,0.00000,-0.3461,0
0.51800,-89.994,0.00000,-0.3433,0
0.51900,-89.996,0.00000,-0.3400,0
0.52000,-89.998,0.00000,-0.3348,0
0.52100,-90.000,0.00000,-0.3234,0
0.52200,-90.002,0.00000,-0.3089,0
0.52300,-90.004,0.00000,-0.2958,0
0.52400,-90.005,0.00000,-0.2873,0
0.52500,-90.007,0.00000,-0.2816,0
0.52600,-90.009,0.00000,-0.2760,0
0.52700,-90.010,0.00000,-0.2702,0
0.52800,-90.012,0.00000,-0.2641,0
0.52900,-90.013,0.00000,-0.2578,0
0.53000,-90.015,0.00000,-0.2513,0
0.53100,-90.016,0.00000,-0.2446,0
0.53200,-90.018,0.00000,-0.2377,0
0.53300,-90.019,0.00000,-0.2306,0
0.53400,-90.021,0.00000,-0.2232,0
0.53500,-90.022,0.00000,-0.2157,0
0.53600,-90.023,0.00000,-0.2081,0
0.53700,-90.024,0.00000,-0.2002,0
0.53800,-90.025,0.00000,-0.1922,0
0.53900,-90.027,0.00000,-0.1841,0
0.54000,-90.028,0.00000,-0.1759,0
0.54100,-90.029,0.00000,-0.1675,0
0.54200,-90.030,0.00000,-0.1590,0
0.54300,-90.030,0.00000,-0.1504,0
0.54400,-90.031,0.00000,-0.1418,0
0.54500,-90.032,0.00000,-0.1331,0
0.54600,-90.033,0.00000,-0.1243,0
0.54700,-90.034,0.00000,-0.1155,0
0.54800,-90.034,0.00000,-0.1066,0
0.54900,-90.035,0.00000,-0.0978,0
0.55000,-90.035,0.00000,-0.0889,0
0.55100,-90.036,0.00000,-0.0800,0
0.55200,-90.036,0.00000,-0.0711,0
0.55300,-90.037,0.00000,-0.0623,0
0.55400,-90.037,0.00000,-0.0535,0
0.55500,-90.037,0.00000,-0.0447,0
0.55600,-90.037,0.00000,-0.0360,0
0.55700,-90.038,0.00000,-0.0274,0
0.55800,-90.038,0.00000,-0.0188,0
0.55900,-90.038,0.00000,-0.0104,0
0.56000,-90.038,0.00000,-0.0020,0
0.56100,-90.038,0.00000,0.0063,0
0.56200,-90.038,0.00000,0.0144,0
0.56300,-90.037,0.00000,0.0224,0
0.56400,-90.037,0.00000,0.0303,0
0.56500,-90.037,0.00000,0.0380,0
0.56600,-90.037,0.00000,0.0456,0
0.56700,-90.036,0.00000,0.0530,0
0.56800,-90.036,0.00000,0.0602,0
0.56900,-90.036,0.00000,0.0673,0
0.57000,-90.035,0.00000,0.0741,0
