# Velocity Control — Viewer
# STL,tablet_R6.0_AR1.50_CV0.35.stl,R_mm,6.0,AR,1.5,CV,0.35
# target_rpm,8.0,kv,14.920775914865189,forcelim,12.5
# density_kg_m3,112.32
# F_Y_max,1474346.71664,F_Y_min,0.00000,Impulse_Ns,3554063.658096

Time_s,Crank_deg,F_Y_N,Crank_RPM,ncon
0.50100,-61.647,1471163.20281,-1.2653,5
0.50200,-61.654,1471045.91163,-1.2529,5
0.50300,-61.662,1470931.03274,-1.2393,5
0.50400,-61.669,1470818.66925,-1.2245,5
0.50500,-61.677,1470708.92050,-1.2084,5
0.50600,-61.684,1470601.88201,-1.1912,5
0.50700,-61.691,1470497.64544,-1.1728,5
0.50800,-61.698,1470396.29848,-1.1533,5
0.50900,-61.704,1470297.92484,-1.1328,5
0.51000,-61.711,1470202.60413,-1.1112,5
0.51100,-61.718,1470110.41191,-1.0885,5
0.51200,-61.724,1470021.41957,-1.0649,5
0.51300,-61.730,1469935.69430,-1.0404,5
0.51400,-61.736,1469853.29909,-1.0149,5
0.51500,-61.742,1469774.29269,-0.9886,5
0.51600,-61.748,1469698.72957,-0.9614,5
0.51700,-61.754,1469626.65991,-0.9334,5
0.51800,-61.759,1469558.12961,-0.9047,5
0.51900,-61.764,1469493.18026,-0.8752,5
0.52000,-61.769,1469431.84913,-0.8451,5
0.52100,-61.774,1469374.16918,-0.8143,5
0.52200,-61.779,1469320.16908,-0.7829,5
0.52300,-61.783,1469269.87321,-0.7509,5
0.52400,-61.788,1469223.30167,-0.7184,5
0.52500,-61.792,1469180.47029,-0.6854,5
0.52600,-61.796,1469141.39067,-0.6520,5
0.52700,-61.800,1469106.07024,-0.6182,5
0.52800,-61.803,1469074.51221,-0.5840,5
0.52900,-61.806,1469046.71568,-0.5495,5
0.53000,-61.809,1469022.67567,-0.5147,5
0.53100,-61.812,1469002.38312,-0.4797,5
0.53200,-61.815,1468985.82501,-0.4445,5
0.53300,-61.817,1468972.98433,-0.4091,5
0.53400,-61.820,1468963.84020,-0.3736,5
0.53500,-61.822,1468958.36792,-0.3380,5
0.53600,-61.823,1468956.53901,-0.3024,5
0.53700,-61.825,1468958.32130,-0.2668,5
0.53800,-61.826,1468963.67898,-0.2312,5
0.53900,-61.828,1468972.57269,-0.1957,5
0.54000,-61.829,1468984.95959,-0.1603,5
0.54100,-61.829,1469000.79345,-0.1251,5
0.54200,-61.830,1469020.02470,-0.0900,5
0.54300,-61.830,1469042.60057,-0.0552,5
0.54400,-61.830,1469068.46511,-0.0207,5
0.54500,-61.830,1469097.55935,0.0136,5
0.54600,-61.830,1469129.82134,0.0475,5
0.54700,-61.830,1469165.18626,0.0810,5
0.54800,-61.829,1469203.58654,0.1142,5
0.54900,-61.828,1469244.95194,0.1469,5
0.55000,-61.827,1469289.20963,0.1791,5
0.55100,-61.826,1469336.28433,0.2109,5
0.55200,-61.824,1469386.09840,0.2421,5
0.55300,-61.823,1469438.57194,0.2728,5
0.55400,-61.821,1469493.62291,0.3029,5
0.55500,-61.819,1469551.16722,0.3323,5
0.55600,-61.817,1469611.11885,0.3612,5
0.55700,-61.814,1469673.38999,0.3893,5
0.55800,-61.812,1469737.89109,0.4168,5
0.55900,-61.809,1469804.53102,0.4436,5
0.56000,-61.806,1469873.21718,0.4696,5
0.56100,-61.803,1469943.85560,0.4949,5
0.56200,-61.800,1470016.35104,0.5194,5
0.56300,-61.797,1470090.60715,0.5431,5
0.56400,-61.793,1470166.52653,0.5660,5
0.56500,-61.790,1470244.01090,0.5880,5
0.56600,-61.786,1470322.96116,0.6092,5
0.56700,-61.783,1470403.27755,0.6295,5
0.56800,-61.779,1470484.85974,0.6490,5
0.56900,-61.775,1470567.60696,0.6676,5
0.57000,-61.771,1470651.41807,0.6852,5
0.57100,-61.766,1470736.19174,0.7020,5
0.57200,-61.762,1470821.82650,0.7178,5
0.57300,-61.758,1470908.22091,0.7327,5
0.57400,-61.753,1470995.27361,0.7466,5
0.57500,-61.749,1471082.88346,0.7596,5
0.57600,-61.744,1471170.94966,0.7717,5
0.57700,-61.739,1471259.37181,0.7828,5
0.57800,-61.734,1471348.05007,0.7929,5
0.57900,-61.730,1471436.88525,0.8021,5
0.58000,-61.725,1471525.77886,0.8103,5
0.58100,-61.720,1471614.63328,0.8175,5
0.58200,-61.715,1471703.35184,0.8238,5
0.58300,-61.710,1471791.83885,0.8292,5
0.58400,-61.705,1471879.99982,0.8335,5
0.58500,-61.700,1471967.74144,0.8369,5
0.58600,-61.695,1472054.97171,0.8394,5
0.58700,-61.690,1472141.60006,0.8409,5
0.58800,-61.685,1472227.53737,0.8415,5
0.58900,-61.680,1472312.69613,0.8412,5
0.59000,-61.675,1472396.99044,0.8399,5
0.59100,-61.670,1472480.33616,0.8377,5
0.59200,-61.665,1472562.65094,0.8347,5
0.59300,-61.660,1472643.85431,0.8307,5
0.59400,-61.655,1472723.86777,0.8259,5
0.59500,-61.650,1472802.61480,0.8203,5
0.59600,-61.645,1472880.02100,0.8137,5
0.59700,-61.640,1472956.01409,0.8064,5
0.59800,-61.635,1473030.52400,0.7982,5
0.59900,-61.631,1473103.48294,0.7893,5
0.60000,-61.626,1473174.82541,0.7795,5
0.60100,-61.621,1473244.48829,0.7690,5
0.60200,-61.617,1473312.41087,0.7578,5
0.60300,-61.612,1473378.53490,0.7458,5
0.60400,-61.608,1473442.80461,0.7331,5
0.60500,-61.604,1473505.16681,0.7198,5
0.60600,-61.599,1473565.57084,0.7058,5
0.60700,-61.595,1473623.96867,0.6911,5
0.60800,-61.591,1473680.31490,0.6758,5
0.60900,-61.587,1473734.56678,0.6599,5
0.61000,-61.583,1473786.68426,0.6435,5
0.61100,-61.580,1473836.62999,0.6265,5
0.61200,-61.576,1473884.36932,0.6090,5
0.61300,-61.572,1473929.87036,0.5909,5
0.61400,-61.569,1473973.10395,0.5724,5
0.61500,-61.566,1474014.04369,0.5534,5
0.61600,-61.562,1474052.66590,0.5340,5
0.61700,-61.559,1474088.94971,0.5143,5
0.61800,-61.556,1474122.87696,0.4941,5
0.61900,-61.553,1474154.43226,0.4735,5
0.62000,-61.551,1474183.60295,0.4527,5
0.62100,-61.548,1474210.37911,0.4315,5
0.62200,-61.546,1474234.75354,0.4101,5
0.62300,-61.543,1474256.72172,0.3884,5
0.62400,-61.541,1474276.28183,0.3665,5
0.62500,-61.539,1474293.43469,0.3444,5
0.62600,-61.537,1474308.18376,0.3221,5
0.62700,-61.535,1474320.53511,0.2997,5
0.62800,-61.534,1474330.49738,0.2772,5
0.62900,-61.532,1474338.08175,0.2546,5
0.63000,-61.531,1474343.30191,0.2319,5
0.63100,-61.530,1474346.17401,0.2091,5
0.63200,-61.528,1474346.71664,0.1864,5
