# Velocity Control — Tablet Force Profile
# STL,tablet_R6.0_AR1.50_CV0.08.stl,R_mm,6.0,AR,1.5,CV,0.08
# target_rpm,8.0,kv,60.0,forcelim,120.0
# density_kg_m3,34.56
# F_Y_max,0.00000,F_Y_min,0.00000,Impulse_Ns,0.000000

Time_s,F_X_N,F_Y_N,F_Z_N,Crank_RPM,Motor_torque_Nm
0.99200,0.00000,0.00000,0.00000,0.0543,0.3413
0.99400,0.00000,0.00000,0.00000,-0.0543,-0.3413
0.99600,0.00000,0.00000,0.00000,0.0543,0.3413
0.99800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.00000,0.00000,0.00000,0.00000,0.0543,0.3413
1.00200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.00400,0.00000,0.00000,0.00000,0.0543,0.3413
1.00600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.00800,0.00000,0.00000,0.00000,0.0543,0.3413
1.01000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.01200,0.00000,0.00000,0.00000,0.0543,0.3413
1.01400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.01600,0.00000,0.00000,0.00000,0.0543,0.3413
1.01800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.02000,0.00000,0.00000,0.00000,0.0543,0.3413
1.02200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.02400,0.00000,0.00000,0.00000,0.0543,0.3413
1.02600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.02800,0.00000,0.00000,0.00000,0.0543,0.3413
1.03000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.03200,0.00000,0.00000,0.00000,0.0543,0.3413
1.03400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.03600,0.00000,0.00000,0.00000,0.0543,0.3413
1.03800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.04000,0.00000,0.00000,0.00000,0.0543,0.3413
1.04200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.04400,0.00000,0.00000,0.00000,0.0543,0.3413
1.04600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.04800,0.00000,0.00000,0.00000,0.0543,0.3413
1.05000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.05200,0.00000,0.00000,0.00000,0.0543,0.3413
1.05400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.05600,0.00000,0.00000,0.00000,0.0543,0.3413
1.05800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.06000,0.00000,0.00000,0.00000,0.0543,0.3413
1.06200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.06400,0.00000,0.00000,0.00000,0.0543,0.3413
1.06600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.06800,0.00000,0.00000,0.00000,0.0543,0.3413
1.07000,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.07200,0.00000,0.00000,0.00000,0.0543,0.3413
1.07400,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.07600,0.00000,0.00000,0.00000,0.0543,0.3413
1.07800,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.08000,0.00000,0.00000,0.00000,0.0543,0.3413
1.08200,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.08400,0.00000,0.00000,0.00000,0.0543,0.3413
1.08600,0.00000,0.00000,0.00000,-0.0543,-0.3413
1.08800,0.00000,0.00000,0.00000,0.0543,0.3413
1.09000,0.00000,0.00000,0.00000,-0.0543,-0.3413
