# Velocity Control — Tablet Force Profile
# STL,tablet_R6.0_AR1.50_CV0.14.stl,R_mm,6.0,AR,1.5,CV,0.14
# target_rpm,8.0,kv,14.920775914865189,forcelim,12.5
# density_kg_m3,1200.0
# F_Y_max,0.00000,F_Y_min,-803.00651,Impulse_Ns,-1775.006652

Time_s,F_X_N,F_Y_N,F_Z_N,Crank_RPM,Motor_torque_Nm
0.58400,0.00000,0.00000,0.00000,0.1533,-0.2345
0.58500,0.00000,0.00000,0.00000,0.1561,-0.2392
0.58600,0.00000,0.00000,0.00000,0.1586,-0.2435
0.58700,0.00000,0.00000,0.00000,0.1609,-0.2475
0.58800,0.00000,0.00000,0.00000,0.1630,-0.2511
0.58900,0.00000,0.00000,0.00000,0.1648,-0.2543
0.59000,0.00000,0.00000,0.00000,0.1663,-0.2571
0.59100,0.00000,0.00000,0.00000,0.1677,-0.2595
0.59200,0.00000,0.00000,0.00000,0.1688,-0.2616
0.59300,0.00000,0.00000,0.00000,0.1696,-0.2633
0.59400,0.00000,0.00000,0.00000,0.1702,-0.2647
0.59500,0.00000,0.00000,0.00000,0.1706,-0.2656
0.59600,0.00000,0.00000,0.00000,0.1708,-0.2662
0.59700,0.00000,0.00000,0.00000,0.1707,-0.2665
0.59800,0.00000,0.00000,0.00000,0.1704,-0.2664
0.59900,0.00000,0.00000,0.00000,0.1699,-0.2659
0.60000,0.00000,0.00000,0.00000,0.1692,-0.2651
0.60100,0.00000,0.00000,0.00000,0.1682,-0.2640
0.60200,0.00000,0.00000,0.00000,0.1670,-0.2625
0.60300,0.00000,0.00000,0.00000,0.1647,-0.2605
0.60400,0.00000,0.00000,0.00000,0.1610,-0.2570
0.60500,0.00000,0.00000,0.00000,0.1556,-0.2512
0.60600,0.00000,0.00000,0.00000,0.1492,-0.2428
0.60700,0.00000,0.00000,0.00000,0.1424,-0.2328
0.60800,0.00000,0.00000,0.00000,0.1358,-0.2222
0.60900,0.00000,0.00000,0.00000,0.1296,-0.2118
0.61000,0.00000,0.00000,0.00000,0.1241,-0.2022
0.61100,0.00000,0.00000,0.00000,0.1195,-0.1936
0.61200,0.00000,0.00000,0.00000,0.1158,-0.1865
0.61300,0.00000,0.00000,0.00000,0.1126,-0.1806
0.61400,0.00000,0.00000,0.00000,0.1097,-0.1757
0.61500,0.00000,0.00000,0.00000,0.1068,-0.1711
0.61600,0.00000,0.00000,0.00000,0.1039,-0.1667
0.61700,0.00000,0.00000,0.00000,0.1009,-0.1621
0.61800,0.00000,0.00000,0.00000,0.0978,-0.1575
0.61900,0.00000,0.00000,0.00000,0.0947,-0.1527
0.62000,0.00000,0.00000,0.00000,0.0915,-0.1478
0.62100,0.00000,0.00000,0.00000,0.0882,-0.1428
0.62200,0.00000,0.00000,0.00000,0.0849,-0.1377
0.62300,0.00000,0.00000,0.00000,0.0815,-0.1325
0.62400,0.00000,0.00000,0.00000,0.0781,-0.1272
0.62500,0.00000,0.00000,0.00000,0.0746,-0.1218
0.62600,0.00000,0.00000,0.00000,0.0710,-0.1163
0.62700,0.00000,0.00000,0.00000,0.0674,-0.1108
0.62800,0.00000,0.00000,0.00000,0.0638,-0.1052
0.62900,0.00000,0.00000,0.00000,0.0601,-0.0995
0.63000,0.00000,0.00000,0.00000,0.0564,-0.0938
0.63100,0.00000,0.00000,0.00000,0.0527,-0.0880
0.63200,0.00000,0.00000,0.00000,0.0490,-0.0822
0.63300,0.00000,0.00000,0.00000,0.0452,-0.0764
0.63400,0.00000,0.00000,0.00000,0.0415,-0.0706
0.63500,0.00000,0.00000,0.00000,0.0377,-0.0647
0.63600,0.00000,0.00000,0.00000,0.0339,-0.0588
0.63700,0.00000,0.00000,0.00000,0.0302,-0.0529
0.63800,0.00000,0.00000,0.00000,0.0264,-0.0471
0.63900,0.00000,0.00000,0.00000,0.0227,-0.0412
0.64000,0.00000,0.00000,0.00000,0.0190,-0.0354
0.64100,0.00000,0.00000,0.00000,0.0153,-0.0296
0.64200,0.00000,0.00000,0.00000,0.0116,-0.0238
0.64300,0.00000,0.00000,0.00000,0.0080,-0.0181
0.64400,0.00000,0.00000,0.00000,0.0044,-0.0125
0.64500,0.00000,0.00000,0.00000,0.0008,-0.0069
0.64600,0.00000,0.00000,0.00000,-0.0027,-0.0013
0.64700,0.00000,0.00000,0.00000,-0.0061,0.0042
0.64800,0.00000,0.00000,0.00000,-0.0095,0.0095
0.64900,0.00000,0.00000,0.00000,-0.0129,0.0148
0.65000,0.00000,0.00000,0.00000,-0.0161,0.0201
0.65100,0.00000,0.00000,0.00000,-0.0194,0.0252
0.65200,0.00000,0.00000,0.00000,-0.0225,0.0302
0.65300,0.00000,0.00000,0.00000,-0.0256,0.0351
0.65400,0.00000,0.00000,0.00000,-0.0286,0.0399
0.65500,0.00000,0.00000,0.00000,-0.0315,0.0446
0.65600,0.00000,0.00000,0.00000,-0.0343,0.0492
0.65700,0.00000,0.00000,0.00000,-0.0371,0.0536
0.65800,0.00000,0.00000,0.00000,-0.0398,0.0579
0.65900,0.00000,0.00000,0.00000,-0.0424,0.0621
0.66000,0.00000,0.00000,0.00000,-0.0449,0.0661
0.66100,0.00000,0.00000,0.00000,-0.0473,0.0700
0.66200,0.00000,0.00000,0.00000,-0.0496,0.0737
0.66300,0.00000,0.00000,0.00000,-0.0518,0.0773
0.66400,0.00000,0.00000,0.00000,-0.0539,0.0808
0.66500,0.00000,0.00000,0.00000,-0.0559,0.0841
0.66600,0.00000,0.00000,0.00000,-0.0578,0.0872
0.66700,0.00000,0.00000,0.00000,-0.0596,0.0902
0.66800,0.00000,0.00000,0.00000,-0.0613,0.0930
0.66900,0.00000,0.00000,0.00000,-0.0629,0.0957
0.67000,0.00000,0.00000,0.00000,-0.0644,0.0982
0.67100,0.00000,0.00000,0.00000,-0.0658,0.1005
0.67200,0.00000,0.00000,0.00000,-0.0671,0.1027
0.67300,0.00000,0.00000,0.00000,-0.0683,0.1047
0.67400,0.00000,0.00000,0.00000,-0.0694,0.1065
0.67500,0.00000,0.00000,0.00000,-0.0703,0.1082
0.67600,0.00000,0.00000,0.00000,-0.0712,0.1097
0.67700,0.00000,0.00000,0.00000,-0.0719,0.1111
0.67800,0.00000,0.00000,0.00000,-0.0726,0.1123
0.67900,0.00000,0.00000,0.00000,-0.0731,0.1133
0.68000,0.00000,0.00000,0.00000,-0.0736,0.1141
0.68100,0.00000,0.00000,0.00000,-0.0739,0.1148
0.68200,0.00000,0.00000,0.00000,-0.0742,0.1153
0.68300,0.00000,0.00000,0.00000,-0.0743,0.1157
0.68400,0.00000,0.00000,0.00000,-0.0742,0.1159
0.68500,0.00000,0.00000,0.00000,-0.0738,0.1157
0.68600,0.00000,0.00000,0.00000,-0.0731,0.1151
0.68700,0.00000,0.00000,0.00000,-0.0721,0.1141
0.68800,0.00000,0.00000,0.00000,-0.0707,0.1125
0.68900,0.00000,0.00000,0.00000,-0.0689,0.1103
0.69000,0.00000,0.00000,0.00000,-0.0668,0.1075
0.69100,0.00000,0.00000,0.00000,-0.0645,0.1042
0.69200,0.00000,0.00000,0.00000,-0.0620,0.1006
0.69300,0.00000,0.00000,0.00000,-0.0594,0.0968
0.69400,0.00000,0.00000,0.00000,-0.0568,0.0927
0.69500,0.00000,0.00000,0.00000,-0.0542,0.0887
0.69600,0.00000,0.00000,0.00000,-0.0516,0.0846
0.69700,0.00000,0.00000,0.00000,-0.0491,0.0806
0.69800,0.00000,0.00000,0.00000,-0.0467,0.0766
0.69900,0.00000,0.00000,0.00000,-0.0443,0.0728
0.70000,0.00000,0.00000,0.00000,-0.0420,0.0691
0.70100,0.00000,0.00000,0.00000,-0.0399,0.0656
0.70200,0.00000,0.00000,0.00000,-0.0378,0.0622
0.70300,0.00000,0.00000,0.00000,-0.0358,0.0590
0.70400,0.00000,0.00000,0.00000,-0.0340,0.0559
0.70500,0.00000,0.00000,0.00000,-0.0322,0.0530
0.70600,0.00000,0.00000,0.00000,-0.0305,0.0502
0.70700,0.00000,0.00000,0.00000,-0.0289,0.0476
0.70800,0.00000,0.00000,0.00000,-0.0273,0.0451
0.70900,0.00000,0.00000,0.00000,-0.0259,0.0427
0.71000,0.00000,0.00000,0.00000,-0.0245,0.0404
0.71100,0.00000,0.00000,0.00000,-0.0231,0.0382
0.71200,0.00000,0.00000,0.00000,-0.0218,0.0360
0.71300,0.00000,0.00000,0.00000,-0.0205,0.0340
0.71400,0.00000,0.00000,0.00000,-0.0192,0.0319
0.71500,0.00000,0.00000,0.00000,-0.0180,0.0300
0.71600,0.00000,0.00000,0.00000,-0.0167,0.0280
0.71700,0.00000,0.00000,0.00000,-0.0155,0.0261
0.71800,0.00000,0.00000,0.00000,-0.0143,0.0242
0.71900,0.00000,0.00000,0.00000,-0.0132,0.0224
0.72000,0.00000,0.00000,0.00000,-0.0120,0.0205
0.72100,0.00000,0.00000,0.00000,-0.0108,0.0187
0.72200,0.00000,0.00000,0.00000,-0.0097,0.0169
0.72300,0.00000,0.00000,0.00000,-0.0086,0.0151
0.72400,0.00000,0.00000,0.00000,-0.0074,0.0134
0.72500,0.00000,0.00000,0.00000,-0.0063,0.0116
0.72600,0.00000,0.00000,0.00000,-0.0052,0.0099
0.72700,0.00000,0.00000,0.00000,-0.0041,0.0081
0.72800,0.00000,0.00000,0.00000,-0.0030,0.0064
0.72900,0.00000,0.00000,0.00000,-0.0020,0.0047
0.73000,0.00000,0.00000,0.00000,-0.0009,0.0031
0.73100,0.00000,0.00000,0.00000,0.0001,0.0014
0.73200,0.00000,0.00000,0.00000,0.0011,-0.0002
0.73300,0.00000,0.00000,0.00000,0.0022,-0.0018
0.73400,0.00000,0.00000,0.00000,0.0031,-0.0034
0.73500,0.00000,0.00000,0.00000,0.0041,-0.0049
0.73600,0.00000,0.00000,0.00000,0.0051,-0.0064
0.73700,0.00000,0.00000,0.00000,0.0060,-0.0079
0.73800,0.00000,0.00000,0.00000,0.0069,-0.0093
0.73900,0.00000,0.00000,0.00000,0.0078,-0.0108
0.74000,0.00000,0.00000,0.00000,0.0086,-0.0121
0.74100,0.00000,0.00000,0.00000,0.0095,-0.0135
0.74200,0.00000,0.00000,0.00000,0.0102,-0.0147
0.74300,0.00000,0.00000,0.00000,0.0110,-0.0160
0.74400,0.00000,0.00000,0.00000,0.0117,-0.0172
0.74500,0.00000,0.00000,0.00000,0.0124,-0.0183
0.74600,0.00000,0.00000,0.00000,0.0131,-0.0194
0.74700,0.00000,0.00000,0.00000,0.0137,-0.0205
0.74800,0.00000,0.00000,0.00000,0.0143,-0.0214
0.74900,0.00000,0.00000,0.00000,0.0149,-0.0224
0.75000,0.00000,0.00000,0.00000,0.0154,-0.0232
0.75100,0.00000,0.00000,0.00000,0.0158,-0.0240
0.75200,0.00000,0.00000,0.00000,0.0163,-0.0247
0.75300,0.00000,0.00000,0.00000,0.0166,-0.0254
0.75400,0.00000,0.00000,0.00000,0.0170,-0.0260
0.75500,0.00000,0.00000,0.00000,0.0172,-0.0265
0.75600,0.00000,0.00000,0.00000,0.0175,-0.0269
0.75700,0.00000,0.00000,0.00000,0.0177,-0.0273
0.75800,0.00000,0.00000,0.00000,0.0178,-0.0275
0.75900,0.00000,0.00000,0.00000,0.0179,-0.0277
0.76000,0.00000,0.00000,0.00000,0.0179,-0.0279
0.76100,0.00000,0.00000,0.00000,0.0179,-0.0279
0.76200,0.00000,0.00000,0.00000,0.0178,-0.0279
0.76300,0.00000,0.00000,0.00000,0.0177,-0.0278
0.76400,0.00000,0.00000,0.00000,0.0176,-0.0277
0.76500,0.00000,0.00000,0.00000,0.0174,-0.0274
0.76600,0.00000,0.00000,0.00000,0.0172,-0.0272
0.76700,0.00000,0.00000,0.00000,0.0170,-0.0268
0.76800,0.00000,0.00000,0.00000,0.0167,-0.0265
0.76900,0.00000,0.00000,0.00000,0.0164,-0.0261
0.77000,0.00000,0.00000,0.00000,0.0161,-0.0256
0.77100,0.00000,0.00000,0.00000,0.0158,-0.0251
0.77200,0.00000,0.00000,0.00000,0.0154,-0.0246
0.77300,0.00000,0.00000,0.00000,0.0151,-0.0241
0.77400,0.00000,0.00000,0.00000,0.0147,-0.0235
0.77500,0.00000,0.00000,0.00000,0.0143,-0.0229
0.77600,0.00000,0.00000,0.00000,0.0139,-0.0223
0.77700,0.00000,0.00000,0.00000,0.0135,-0.0217
0.77800,0.00000,0.00000,0.00000,0.0131,-0.0211
0.77900,0.00000,0.00000,0.00000,0.0127,-0.0205
0.78000,0.00000,0.00000,0.00000,0.0123,-0.0198
0.78100,0.00000,0.00000,0.00000,0.0119,-0.0192
0.78200,0.00000,0.00000,0.00000,0.0115,-0.0186
0.78300,0.00000,0.00000,0.00000,0.0111,-0.0179
0.78400,0.00000,0.00000,0.00000,0.0107,-0.0173
0.78500,0.00000,0.00000,0.00000,0.0103,-0.0167
0.78600,0.00000,0.00000,0.00000,0.0099,-0.0161
0.78700,0.00000,0.00000,0.00000,0.0095,-0.0155
0.78800,0.00000,0.00000,0.00000,0.0091,-0.0149
0.78900,0.00000,0.00000,0.00000,0.0088,-0.0143
0.79000,0.00000,0.00000,0.00000,0.0084,-0.0137
0.79100,0.00000,0.00000,0.00000,0.0080,-0.0131
0.79200,0.00000,0.00000,0.00000,0.0077,-0.0125
