# Velocity Control — Tablet Force Profile
# STL,tablet_R8.5_AR2.50_CV0.35.stl,R_mm,8.5,AR,2.5,CV,0.35
# target_rpm,8.0,kv,60.0,forcelim,120.0
# density_kg_m3,1200.0
# F_Y_max,0.00000,F_Y_min,0.00000,Impulse_Ns,0.000000

Time_s,F_X_N,F_Y_N,F_Z_N,Crank_RPM,Motor_torque_Nm
1.19600,0.00000,0.00000,0.00000,-0.0052,0.0353
1.19800,0.00000,0.00000,0.00000,-0.0051,0.0329
1.20000,0.00000,0.00000,0.00000,-0.0045,0.0323
1.20200,0.00000,0.00000,0.00000,-0.0051,0.0285
1.20400,0.00000,0.00000,0.00000,-0.0031,0.0323
1.20600,0.00000,0.00000,0.00000,-0.0071,0.0195
1.20800,0.00000,0.00000,0.00000,0.0029,0.0447
1.21000,0.00000,0.00000,0.00000,-0.0200,-0.0180
1.21200,0.00000,0.00000,0.00000,0.0376,0.1259
1.21400,0.00000,0.00000,0.00000,-0.0911,-0.2363
1.21600,0.00000,0.00000,0.00000,0.2609,0.5724
1.21800,0.00000,0.00000,0.00000,0.0042,-1.6396
1.22000,0.00000,0.00000,0.00000,-0.0270,-0.0262
1.22200,0.00000,0.00000,0.00000,-0.0248,0.1698
1.22400,0.00000,0.00000,0.00000,-0.0167,0.1559
1.22600,0.00000,0.00000,0.00000,-0.0147,0.1049
1.22800,0.00000,0.00000,0.00000,-0.0118,0.0922
1.23000,0.00000,0.00000,0.00000,-0.0110,0.0743
1.23200,0.00000,0.00000,0.00000,-0.0091,0.0692
1.23400,0.00000,0.00000,0.00000,-0.0091,0.0575
1.23600,0.00000,0.00000,0.00000,-0.0072,0.0571
1.23800,0.00000,0.00000,0.00000,-0.0083,0.0452
1.24000,0.00000,0.00000,0.00000,-0.0051,0.0518
1.24200,0.00000,0.00000,0.00000,-0.0091,0.0318
1.24400,0.00000,0.00000,0.00000,-0.0006,0.0575
1.24600,0.00000,0.00000,0.00000,-0.0154,0.0039
1.24800,0.00000,0.00000,0.00000,0.0151,0.0970
1.25000,0.00000,0.00000,0.00000,-0.0430,-0.0948
1.25200,0.00000,0.00000,0.00000,0.0868,0.2703
1.25400,0.00000,0.00000,0.00000,-0.1137,-0.5454
1.25600,0.00000,0.00000,0.00000,0.2855,0.7142
1.25800,0.00000,0.00000,0.00000,0.1015,-1.7936
1.26000,0.00000,0.00000,0.00000,0.0153,-0.6376
1.26200,0.00000,0.00000,0.00000,-0.0337,-0.0963
1.26400,0.00000,0.00000,0.00000,-0.0581,0.2116
1.26600,0.00000,0.00000,0.00000,-0.0665,0.3651
1.26800,0.00000,0.00000,0.00000,-0.0495,0.4175
1.27000,0.00000,0.00000,0.00000,-0.0217,0.3112
1.27200,0.00000,0.00000,0.00000,-0.0178,0.1361
1.27400,0.00000,0.00000,0.00000,-0.0140,0.1120
1.27600,0.00000,0.00000,0.00000,-0.0125,0.0878
1.27800,0.00000,0.00000,0.00000,-0.0105,0.0784
1.28000,0.00000,0.00000,0.00000,-0.0099,0.0658
1.28200,0.00000,0.00000,0.00000,-0.0083,0.0619
1.28400,0.00000,0.00000,0.00000,-0.0084,0.0520
1.28600,0.00000,0.00000,0.00000,-0.0065,0.0528
1.28800,0.00000,0.00000,0.00000,-0.0080,0.0405
1.29000,0.00000,0.00000,0.00000,-0.0040,0.0505
1.29200,0.00000,0.00000,0.00000,-0.0101,0.0249
1.29400,0.00000,0.00000,0.00000,0.0027,0.0635
1.29600,0.00000,0.00000,0.00000,-0.0212,-0.0170
1.29800,0.00000,0.00000,0.00000,0.0301,0.1331
1.30000,0.00000,0.00000,0.00000,-0.0676,-0.1888
1.30200,0.00000,0.00000,0.00000,0.1603,0.4249
1.30400,0.00000,0.00000,0.00000,-0.0855,-1.0070
1.30600,0.00000,0.00000,0.00000,0.1168,0.5370
1.30800,0.00000,0.00000,0.00000,-0.0340,-0.7341
1.31000,0.00000,0.00000,0.00000,-0.0098,0.2137
1.31200,0.00000,0.00000,0.00000,-0.0181,0.0615
1.31400,0.00000,0.00000,0.00000,-0.0080,0.1135
1.31600,0.00000,0.00000,0.00000,-0.0141,0.0502
1.31800,0.00000,0.00000,0.00000,-0.0048,0.0887
1.32000,0.00000,0.00000,0.00000,-0.0140,0.0305
1.32200,0.00000,0.00000,0.00000,0.0005,0.0880
1.32400,0.00000,0.00000,0.00000,-0.0192,-0.0034
1.32600,0.00000,0.00000,0.00000,0.0147,0.1207
1.32800,0.00000,0.00000,0.00000,-0.0390,-0.0923
1.33000,0.00000,0.00000,0.00000,0.0628,0.2450
1.33200,0.00000,0.00000,0.00000,-0.0861,-0.3945
1.33400,0.00000,0.00000,0.00000,0.1841,0.5413
1.33600,0.00000,0.00000,0.00000,-0.0154,-1.1566
1.33800,0.00000,0.00000,0.00000,-0.0252,0.0971
1.34000,0.00000,0.00000,0.00000,-0.0168,0.1582
1.34200,0.00000,0.00000,0.00000,-0.0148,0.1056
1.34400,0.00000,0.00000,0.00000,-0.0118,0.0927
1.34600,0.00000,0.00000,0.00000,-0.0110,0.0744
1.34800,0.00000,0.00000,0.00000,-0.0091,0.0694
1.35000,0.00000,0.00000,0.00000,-0.0091,0.0574
1.35200,0.00000,0.00000,0.00000,-0.0072,0.0572
1.35400,0.00000,0.00000,0.00000,-0.0083,0.0450
1.35600,0.00000,0.00000,0.00000,-0.0049,0.0521
1.35800,0.00000,0.00000,0.00000,-0.0093,0.0311
1.36000,0.00000,0.00000,0.00000,-0.0003,0.0585
1.36200,0.00000,0.00000,0.00000,-0.0161,0.0016
1.36400,0.00000,0.00000,0.00000,0.0166,0.1010
1.36600,0.00000,0.00000,0.00000,-0.0454,-0.1040
1.36800,0.00000,0.00000,0.00000,0.0934,0.2855
1.37000,0.00000,0.00000,0.00000,-0.1144,-0.5869
1.37200,0.00000,0.00000,0.00000,0.2820,0.7186
1.37400,0.00000,0.00000,0.00000,0.1005,-1.7721
1.37600,0.00000,0.00000,0.00000,0.0148,-0.6317
1.37800,0.00000,0.00000,0.00000,-0.0339,-0.0932
1.38000,0.00000,0.00000,0.00000,-0.0582,0.2130
1.38200,0.00000,0.00000,0.00000,-0.0663,0.3654
1.38400,0.00000,0.00000,0.00000,-0.0491,0.4168
1.38600,0.00000,0.00000,0.00000,-0.0215,0.3088
1.38800,0.00000,0.00000,0.00000,-0.0178,0.1352
1.39000,0.00000,0.00000,0.00000,-0.0139,0.1119
1.39200,0.00000,0.00000,0.00000,-0.0125,0.0875
1.39400,0.00000,0.00000,0.00000,-0.0104,0.0784
1.39600,0.00000,0.00000,0.00000,-0.0099,0.0656
1.39800,0.00000,0.00000,0.00000,-0.0082,0.0620
1.40000,0.00000,0.00000,0.00000,-0.0084,0.0518
1.40200,0.00000,0.00000,0.00000,-0.0064,0.0530
1.40400,0.00000,0.00000,0.00000,-0.0081,0.0402
1.40600,0.00000,0.00000,0.00000,-0.0038,0.0510
1.40800,0.00000,0.00000,0.00000,-0.0104,0.0239
1.41000,0.00000,0.00000,0.00000,0.0033,0.0654
1.41200,0.00000,0.00000,0.00000,-0.0223,-0.0208
1.41400,0.00000,0.00000,0.00000,0.0326,0.1400
1.41600,0.00000,0.00000,0.00000,-0.0712,-0.2051
1.41800,0.00000,0.00000,0.00000,0.1708,0.4476
1.42000,0.00000,0.00000,0.00000,-0.0737,-1.0735
1.42200,0.00000,0.00000,0.00000,0.0726,0.4628
1.42400,0.00000,0.00000,0.00000,-0.0465,-0.4564
1.42600,0.00000,0.00000,0.00000,0.0192,0.2921
1.42800,0.00000,0.00000,0.00000,-0.0344,-0.1209
1.43000,0.00000,0.00000,0.00000,0.0176,0.2164
1.43200,0.00000,0.00000,0.00000,-0.0359,-0.1104
1.43400,0.00000,0.00000,0.00000,0.0307,0.2255
1.43600,0.00000,0.00000,0.00000,-0.0486,-0.1926
1.43800,0.00000,0.00000,0.00000,0.0633,0.3056
1.44000,0.00000,0.00000,0.00000,-0.0669,-0.3976
1.44200,0.00000,0.00000,0.00000,0.0973,0.4206
1.44400,0.00000,0.00000,0.00000,-0.0580,-0.6116
1.44600,0.00000,0.00000,0.00000,0.0434,0.3642
1.44800,0.00000,0.00000,0.00000,-0.0456,-0.2727
1.45000,0.00000,0.00000,0.00000,0.0317,0.2866
1.45200,0.00000,0.00000,0.00000,-0.0439,-0.1990
1.45400,0.00000,0.00000,0.00000,0.0390,0.2761
1.45600,0.00000,0.00000,0.00000,-0.0511,-0.2453
1.45800,0.00000,0.00000,0.00000,0.0593,0.3212
1.46000,0.00000,0.00000,0.00000,-0.0607,-0.3723
1.46200,0.00000,0.00000,0.00000,0.0751,0.3812
1.46400,0.00000,0.00000,0.00000,-0.0588,-0.4717
1.46600,0.00000,0.00000,0.00000,0.0557,0.3695
1.46800,0.00000,0.00000,0.00000,-0.0516,-0.3499
1.47000,0.00000,0.00000,0.00000,0.0430,0.3241
1.47200,0.00000,0.00000,0.00000,-0.0490,-0.2699
1.47400,0.00000,0.00000,0.00000,0.0449,0.3077
1.47600,0.00000,0.00000,0.00000,-0.0521,-0.2819
1.47800,0.00000,0.00000,0.00000,0.0555,0.3275
1.48000,0.00000,0.00000,0.00000,-0.0571,-0.3490
1.48200,0.00000,0.00000,0.00000,0.0640,0.3585
1.48400,0.00000,0.00000,0.00000,-0.0574,-0.4022
1.48600,0.00000,0.00000,0.00000,0.0578,0.3605
1.48800,0.00000,0.00000,0.00000,-0.0538,-0.3634
1.49000,0.00000,0.00000,0.00000,0.0494,0.3381
1.49200,0.00000,0.00000,0.00000,-0.0517,-0.3103
1.49400,0.00000,0.00000,0.00000,0.0487,0.3245
1.49600,0.00000,0.00000,0.00000,-0.0528,-0.3059
1.49800,0.00000,0.00000,0.00000,0.0540,0.3318
1.50000,0.00000,0.00000,0.00000,-0.0554,-0.3390
1.50200,0.00000,0.00000,0.00000,0.0588,0.3480
1.50400,0.00000,0.00000,0.00000,-0.0561,-0.3697
1.50600,0.00000,0.00000,0.00000,0.0572,0.3525
1.50800,0.00000,0.00000,0.00000,-0.0545,-0.3591
1.51000,0.00000,0.00000,0.00000,0.0525,0.3424
1.51200,0.00000,0.00000,0.00000,-0.0531,-0.3299
1.51400,0.00000,0.00000,0.00000,0.0512,0.3334
1.51600,0.00000,0.00000,0.00000,-0.0533,-0.3214
1.51800,0.00000,0.00000,0.00000,0.0535,0.3352
1.52000,0.00000,0.00000,0.00000,-0.0547,-0.3364
1.52200,0.00000,0.00000,0.00000,0.0564,0.3434
1.52400,0.00000,0.00000,0.00000,-0.0553,-0.3541
1.52600,0.00000,0.00000,0.00000,0.0562,0.3473
1.52800,0.00000,0.00000,0.00000,-0.0546,-0.3529
1.53000,0.00000,0.00000,0.00000,0.0538,0.3432
1.53200,0.00000,0.00000,0.00000,-0.0538,-0.3383
1.53400,0.00000,0.00000,0.00000,0.0527,0.3379
1.53600,0.00000,0.00000,0.00000,-0.0537,-0.3309
1.53800,0.00000,0.00000,0.00000,0.0536,0.3376
1.54000,0.00000,0.00000,0.00000,-0.0544,-0.3368
1.54200,0.00000,0.00000,0.00000,0.0552,0.3416
1.54400,0.00000,0.00000,0.00000,-0.0548,-0.3466
